Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Podcast Omega-3 - Marc,Omega-3,Marc Petit,Podcast,Valeur,Boostez votre immunité,Novembre 2025,En pause,1952.44,118,1249.56,0.64,16.55,206477,5368,2.60,2025-11-20
Créa Podcast AG1 Powder - Tom,AG1 Powder,Tom Brown,Podcast,Santé,Mon cœur me remercie,Septembre 2025,En pause,898.59,77,2848.53,3.17,11.67,89434,2218,2.48,2025-09-16
Créa UGC AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,UGC,Convenience,Économisez avec le bundle,Juillet 2025,En pause,2627.08,110,3599.10,1.37,23.88,171762,3504,2.04,2025-07-18
Créa Témoignage Omega-3 - Marc,Omega-3,Marc Petit,Témoignage,Accessoire,Emportez AG1 partout,Juillet 2025,En ligne,1514.47,16,1196.43,0.79,94.65,239223,8803,3.68,2025-07-02
Créa Motion/Vidéo Shaker - David,Shaker,David Chen,Motion/Vidéo,Valeur,Ma transformation en 2 mois,Août 2025,Arrêtée,917.86,83,2450.69,2.67,11.06,94587,2592,2.74,2025-08-24
Créa Podcast Shaker - Pierre,Shaker,Pierre Moreau,Podcast,Éducation,Parfait pour voyager,Octobre 2025,Archivée,557.47,20,1521.89,2.73,27.87,247175,8651,3.50,2025-10-07
Créa Témoignage AG1 Powder - Sophie,AG1 Powder,Sophie Martin,Témoignage,Testimonial,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,2943.15,128,2354.52,0.80,22.99,189535,7430,3.92,2025-08-03
Créa Podcast Shaker - Kevin,Shaker,Kevin Taylor,Podcast,Éducation,Mon expérience avec Omega-3,Septembre 2025,Arrêtée,570.98,38,1267.58,2.22,15.03,56905,1884,3.31,2025-09-03
Créa UGC Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,UGC,Accessoire,L'importance d'un bon mélange,Novembre 2025,Arrêtée,574.53,136,1482.29,2.58,4.22,145863,5091,3.49,2025-11-03
Créa Podcast Bundle Complet - Alex,Bundle Complet,Alex Johnson,Podcast,Éducation,Le shaker qui change tout,Août 2025,En pause,1910.58,23,3668.31,1.92,83.07,223983,5532,2.47,2025-08-27
Créa Image statique AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,Image statique,Éducation,Mon cœur me remercie,Octobre 2025,Archivée,2162.24,78,6097.52,2.82,27.72,204585,4296,2.10,2025-10-14
Créa Témoignage AG1 Powder - Marie,AG1 Powder,Marie Dubois,Témoignage,Accessoire,Économisez avec le bundle,Juillet 2025,En pause,2027.87,17,3183.76,1.57,119.29,122273,4084,3.34,2025-07-12
Créa Image statique Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,Image statique,Convenience,Ma transformation en 2 mois,Août 2025,Archivée,2485.83,23,7333.20,2.95,108.08,222632,8082,3.63,2025-08-25
Créa Image statique Bundle Complet - Tom,Bundle Complet,Tom Brown,Image statique,Accessoire,Parfait pour voyager,Novembre 2025,En pause,1332.03,75,4262.50,3.20,17.76,190514,7506,3.94,2025-11-25
Créa Image statique Shaker - Kevin,Shaker,Kevin Taylor,Image statique,Convenience,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Arrêtée,2164.16,17,2380.58,1.10,127.30,138959,5114,3.68,2025-08-15
Créa Image statique Bundle Complet - Julie,Bundle Complet,Julie Bernard,Image statique,Valeur,Parfait pour voyager,Août 2025,Archivée,2846.95,72,5836.25,2.05,39.54,55443,1830,3.30,2025-08-17
Créa Motion/Vidéo Omega-3 - Pierre,Omega-3,Pierre Moreau,Motion/Vidéo,Santé,Mon expérience avec Omega-3,Septembre 2025,En pause,727.16,148,807.15,1.11,4.91,78439,2345,2.99,2025-09-06
Créa Motion/Vidéo Shaker - Claire,Shaker,Claire Anderson,Motion/Vidéo,Convenience,Ne manquez jamais votre dose,Novembre 2025,Archivée,1107.90,35,3766.86,3.40,31.65,129101,4441,3.44,2025-11-28
Créa Témoignage AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Témoignage,Valeur,Ne manquez jamais votre dose,Août 2025,Archivée,2896.30,56,9992.24,3.45,51.72,208222,5351,2.57,2025-08-15
Créa Motion/Vidéo Bundle Complet - David,Bundle Complet,David Chen,Motion/Vidéo,Accessoire,N'oubliez plus jamais,Août 2025,Arrêtée,2008.81,86,3173.92,1.58,23.36,245699,7420,3.02,2025-08-08
Créa Motion/Vidéo AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Motion/Vidéo,Testimonial,Économisez avec le bundle,Octobre 2025,En pause,593.26,72,747.51,1.26,8.24,265597,5392,2.03,2025-10-12
Créa Motion/Vidéo Bundle Complet - David,Bundle Complet,David Chen,Motion/Vidéo,Testimonial,Ne manquez jamais votre dose,Août 2025,Archivée,1762.88,86,3843.08,2.18,20.50,233496,7122,3.05,2025-08-08
Créa UGC AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,UGC,Valeur,Ma transformation en 2 mois,Septembre 2025,Archivée,935.11,99,2468.69,2.64,9.45,84796,3137,3.70,2025-09-03
Créa Témoignage AG1 Travel Packs - Anna,AG1 Travel Packs,Anna Schmidt,Témoignage,Testimonial,N'oubliez plus jamais,Novembre 2025,Arrêtée,2406.19,75,4114.58,1.71,32.08,224650,5167,2.30,2025-11-18
Créa Podcast Vitamine D3+K2 - Laura,Vitamine D3+K2,Laura Davis,Podcast,Accessoire,Économisez avec le bundle,Juillet 2025,Archivée,1261.58,109,1160.65,0.92,11.57,111648,2389,2.14,2025-07-19
Créa Motion/Vidéo Omega-3 - Dr.,Omega-3,Dr. Michael Lee,Motion/Vidéo,Accessoire,Boostez votre immunité,Octobre 2025,Arrêtée,2211.89,133,3848.69,1.74,16.63,239177,7199,3.01,2025-10-26
Créa Témoignage AG1 Powder - Sophie,AG1 Powder,Sophie Martin,Témoignage,Santé,Je bois AG1 depuis 3 mois,Juillet 2025,Arrêtée,2734.25,117,3171.73,1.16,23.37,110321,3861,3.50,2025-07-13
Créa Podcast AG1 Travel Packs - Kevin,AG1 Travel Packs,Kevin Taylor,Podcast,Convenience,Je bois AG1 depuis 3 mois,Novembre 2025,Archivée,2226.27,57,5387.57,2.42,39.06,238641,8997,3.77,2025-11-28
Créa Témoignage Omega-3 - Marie,Omega-3,Marie Dubois,Témoignage,Testimonial,Mon expérience avec Omega-3,Novembre 2025,En pause,2758.85,129,8138.61,2.95,21.39,247902,6892,2.78,2025-11-10
Créa Podcast Shaker - Alex,Shaker,Alex Johnson,Podcast,Santé,Mon cœur me remercie,Octobre 2025,En pause,1707.11,149,5735.89,3.36,11.46,76665,1863,2.43,2025-10-26
Créa UGC Vitamine D3+K2 - Tom,Vitamine D3+K2,Tom Brown,UGC,Accessoire,N'oubliez plus jamais,Novembre 2025,Archivée,1846.28,32,3877.19,2.10,57.70,192851,4763,2.47,2025-11-19
Créa Témoignage AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Témoignage,Testimonial,Économisez avec le bundle,Septembre 2025,En pause,2211.38,109,7186.99,3.25,20.29,292635,5911,2.02,2025-09-15
Créa Témoignage Abonnement - Emma,Abonnement,Emma Wilson,Témoignage,Santé,Mon expérience avec Omega-3,Novembre 2025,Archivée,1380.72,96,2140.12,1.55,14.38,162369,3929,2.42,2025-11-19
Créa UGC AG1 Travel Packs - David,AG1 Travel Packs,David Chen,UGC,Valeur,Emportez AG1 partout,Septembre 2025,Arrêtée,892.03,107,2149.79,2.41,8.34,110081,3269,2.97,2025-09-17
Créa Podcast Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Podcast,Convenience,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,1700.66,105,4489.74,2.64,16.20,185366,6043,3.26,2025-09-27
Créa UGC Bundle Complet - Laura,Bundle Complet,Laura Davis,UGC,Santé,Emportez AG1 partout,Novembre 2025,Arrêtée,896.92,39,959.70,1.07,23.00,136220,4659,3.42,2025-11-08
Créa Témoignage AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Témoignage,Testimonial,Mon expérience avec Omega-3,Septembre 2025,En pause,1413.40,48,4042.32,2.86,29.45,280962,7839,2.79,2025-09-21
Créa Image statique Abonnement - Laura,Abonnement,Laura Davis,Image statique,Accessoire,Le meilleur rapport qualité-prix,Novembre 2025,En pause,2346.27,142,5232.18,2.23,16.52,95445,3436,3.60,2025-11-15
Créa Image statique Abonnement - Paul,Abonnement,Paul Martinez,Image statique,Convenience,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Archivée,2234.89,78,5654.27,2.53,28.65,292396,8626,2.95,2025-09-28
Créa UGC AG1 Travel Packs - David,AG1 Travel Packs,David Chen,UGC,Convenience,Boostez votre immunité,Septembre 2025,Arrêtée,1841.70,130,5340.93,2.90,14.17,225273,7209,3.20,2025-09-06
Créa Témoignage Abonnement - Camille,Abonnement,Camille Rousseau,Témoignage,Convenience,L'importance d'un bon mélange,Novembre 2025,Arrêtée,1564.85,21,2894.97,1.85,74.52,99499,2468,2.48,2025-11-05
Créa Témoignage Shaker - Marie,Shaker,Marie Dubois,Témoignage,Éducation,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,1982.50,67,4163.25,2.10,29.59,129290,3336,2.58,2025-08-24
Créa Image statique Shaker - Lisa,Shaker,Lisa Garcia,Image statique,Éducation,Emportez AG1 partout,Novembre 2025,En pause,1956.64,87,4461.14,2.28,22.49,202588,6544,3.23,2025-11-20
Créa Motion/Vidéo Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Motion/Vidéo,Accessoire,Mon expérience avec Omega-3,Juillet 2025,Arrêtée,634.43,57,1871.57,2.95,11.13,224192,4753,2.12,2025-07-14
Créa Motion/Vidéo Shaker - Tom,Shaker,Tom Brown,Motion/Vidéo,Accessoire,L'importance d'un bon mélange,Octobre 2025,Arrêtée,2551.39,119,6531.56,2.56,21.44,188175,6360,3.38,2025-10-05
Créa Image statique AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Image statique,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En pause,1685.38,28,5207.82,3.09,60.19,167569,5697,3.40,2025-10-20
Créa Témoignage Vitamine D3+K2 - Laura,Vitamine D3+K2,Laura Davis,Témoignage,Éducation,Économisez avec le bundle,Juillet 2025,En ligne,1032.73,39,3149.83,3.05,26.48,160941,4104,2.55,2025-07-12
Créa Motion/Vidéo Vitamine D3+K2 - David,Vitamine D3+K2,David Chen,Motion/Vidéo,Accessoire,Mon expérience avec Omega-3,Octobre 2025,En pause,1553.61,100,1584.68,1.02,15.54,228531,4982,2.18,2025-10-23
Créa Témoignage AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Témoignage,Convenience,Parfait pour voyager,Novembre 2025,Archivée,2631.45,141,5552.36,2.11,18.66,64292,2225,3.46,2025-11-01
Créa Témoignage Abonnement - Julie,Abonnement,Julie Bernard,Témoignage,Valeur,Emportez AG1 partout,Novembre 2025,En pause,575.89,99,1969.54,3.42,5.82,273548,10203,3.73,2025-11-11
Créa Image statique Abonnement - Dr.,Abonnement,Dr. James Smith,Image statique,Testimonial,Emportez AG1 partout,Septembre 2025,En pause,2725.05,116,4905.09,1.80,23.49,52794,1700,3.22,2025-09-21
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,2685.60,101,5102.64,1.90,26.59,118589,2680,2.26,2025-08-09
Créa Podcast Bundle Complet - Camille,Bundle Complet,Camille Rousseau,Podcast,Éducation,N'oubliez plus jamais,Septembre 2025,En pause,1068.64,77,1859.43,1.74,13.88,262440,8372,3.19,2025-09-28
Créa Témoignage Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,Témoignage,Éducation,N'oubliez plus jamais,Octobre 2025,En ligne,2154.06,103,3812.69,1.77,20.91,258928,10331,3.99,2025-10-16
Créa Image statique Vitamine D3+K2 - Laura,Vitamine D3+K2,Laura Davis,Image statique,Santé,Parfait pour voyager,Juillet 2025,Arrêtée,2386.00,20,3077.94,1.29,119.30,282529,7318,2.59,2025-07-23
Créa Motion/Vidéo Omega-3 - Camille,Omega-3,Camille Rousseau,Motion/Vidéo,Convenience,Le shaker qui change tout,Octobre 2025,En pause,2276.01,81,6509.39,2.86,28.10,141515,4840,3.42,2025-10-11
Créa Image statique Shaker - Sarah,Shaker,Sarah Martin,Image statique,Testimonial,Je bois AG1 depuis 3 mois,Juillet 2025,Archivée,2117.42,70,2985.56,1.41,30.25,66481,1556,2.34,2025-07-16
Créa Image statique Shaker - Camille,Shaker,Camille Rousseau,Image statique,Testimonial,Emportez AG1 partout,Novembre 2025,Archivée,714.70,132,2501.45,3.50,5.41,273289,9456,3.46,2025-11-07
Créa Image statique Omega-3 - Dr.,Omega-3,Dr. Michael Lee,Image statique,Éducation,Le meilleur rapport qualité-prix,Septembre 2025,Arrêtée,2067.29,143,2914.88,1.41,14.46,100891,2421,2.40,2025-09-14
Créa Image statique Shaker - Julie,Shaker,Julie Bernard,Image statique,Convenience,Ma transformation en 2 mois,Août 2025,En ligne,1596.60,16,5316.68,3.33,99.79,107490,4106,3.82,2025-08-05
Créa Podcast Shaker - Sarah,Shaker,Sarah Martin,Podcast,Valeur,Essentiel en hiver,Juillet 2025,En ligne,1676.02,88,1692.78,1.01,19.05,167009,4192,2.51,2025-07-03
Créa UGC Shaker - Kevin,Shaker,Kevin Taylor,UGC,Testimonial,Mon expérience avec Omega-3,Juillet 2025,En ligne,640.52,29,1908.75,2.98,22.09,265627,7544,2.84,2025-07-08
Créa UGC AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,UGC,Accessoire,Le shaker qui change tout,Octobre 2025,En ligne,2957.66,82,5087.18,1.72,36.07,297529,10890,3.66,2025-10-07
Créa Podcast Shaker - Pierre,Shaker,Pierre Moreau,Podcast,Testimonial,Ne manquez jamais votre dose,Octobre 2025,En ligne,762.03,80,381.02,0.50,9.53,282546,7120,2.52,2025-10-20
Créa Motion/Vidéo AG1 Travel Packs - Camille,AG1 Travel Packs,Camille Rousseau,Motion/Vidéo,Testimonial,L'importance d'un bon mélange,Novembre 2025,En pause,1275.86,103,1607.58,1.26,12.39,288245,10117,3.51,2025-11-07
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Éducation,Ne manquez jamais votre dose,Novembre 2025,En ligne,2438.01,40,4047.10,1.66,60.95,211502,6070,2.87,2025-11-28
Créa Motion/Vidéo Bundle Complet - Marie,Bundle Complet,Marie Dubois,Motion/Vidéo,Valeur,N'oubliez plus jamais,Novembre 2025,Archivée,558.96,47,989.36,1.77,11.89,245043,7792,3.18,2025-11-21
Créa Témoignage AG1 Powder - Marc,AG1 Powder,Marc Petit,Témoignage,Accessoire,Je bois AG1 depuis 3 mois,Octobre 2025,En pause,1029.86,114,2173.00,2.11,9.03,146805,5314,3.62,2025-10-10
Créa UGC Abonnement - Laura,Abonnement,Laura Davis,UGC,Valeur,Le shaker qui change tout,Octobre 2025,Archivée,1504.96,32,4153.69,2.76,47.03,267534,6688,2.50,2025-10-22
Créa Image statique Shaker - Camille,Shaker,Camille Rousseau,Image statique,Santé,Boostez votre immunité,Septembre 2025,Arrêtée,2599.16,128,2209.29,0.85,20.31,231787,6560,2.83,2025-09-06
Créa Témoignage Abonnement - Laura,Abonnement,Laura Davis,Témoignage,Valeur,Boostez votre immunité,Septembre 2025,Arrêtée,1931.06,106,6121.46,3.17,18.22,214539,7981,3.72,2025-09-14
Créa Podcast Abonnement - Tom,Abonnement,Tom Brown,Podcast,Éducation,L'importance d'un bon mélange,Août 2025,En pause,2257.82,64,4944.63,2.19,35.28,271939,7397,2.72,2025-08-19
Créa Motion/Vidéo Bundle Complet - Laura,Bundle Complet,Laura Davis,Motion/Vidéo,Convenience,Ma transformation en 2 mois,Septembre 2025,Arrêtée,1536.48,22,1336.74,0.87,69.84,197602,5987,3.03,2025-09-26
Créa Image statique Abonnement - Dr.,Abonnement,Dr. Michael Lee,Image statique,Convenience,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,1142.99,86,3291.81,2.88,13.29,297018,11435,3.85,2025-09-09
Créa Image statique Shaker - Dr.,Shaker,Dr. James Smith,Image statique,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,2009.55,24,6109.03,3.04,83.73,243349,4891,2.01,2025-11-25
Créa UGC Abonnement - Emma,Abonnement,Emma Wilson,UGC,Convenience,L'importance d'un bon mélange,Août 2025,Arrêtée,1241.59,85,4035.17,3.25,14.61,54486,1564,2.87,2025-08-18
Créa Motion/Vidéo Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,Motion/Vidéo,Valeur,L'importance d'un bon mélange,Octobre 2025,Arrêtée,514.10,147,1639.98,3.19,3.50,292520,11584,3.96,2025-10-17
Créa Image statique AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Image statique,Convenience,Mon expérience avec Omega-3,Août 2025,En ligne,2972.52,29,7342.12,2.47,102.50,52978,1611,3.04,2025-08-21
Créa Podcast Bundle Complet - Marie,Bundle Complet,Marie Dubois,Podcast,Éducation,Ne manquez jamais votre dose,Juillet 2025,En pause,534.17,78,320.50,0.60,6.85,238981,8317,3.48,2025-07-11
Créa Motion/Vidéo Abonnement - Tom,Abonnement,Tom Brown,Motion/Vidéo,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Archivée,2178.31,133,2156.53,0.99,16.38,242769,9517,3.92,2025-11-02
Créa Image statique Omega-3 - Sophie,Omega-3,Sophie Martin,Image statique,Valeur,Emportez AG1 partout,Septembre 2025,Arrêtée,650.50,148,1287.99,1.98,4.40,238799,8859,3.71,2025-09-01
Créa UGC AG1 Powder - Paul,AG1 Powder,Paul Martinez,UGC,Testimonial,Mon expérience avec Omega-3,Juillet 2025,En ligne,972.78,23,2597.32,2.67,42.29,101980,2560,2.51,2025-07-06
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. Robert White,UGC,Convenience,Mon expérience avec Omega-3,Juillet 2025,En pause,512.24,87,1388.17,2.71,5.89,115171,2718,2.36,2025-07-13
Créa Témoignage Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,Témoignage,Santé,Ne manquez jamais votre dose,Novembre 2025,En pause,623.79,66,1440.95,2.31,9.45,212083,5111,2.41,2025-11-28
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Convenience,Mon expérience avec Omega-3,Septembre 2025,Arrêtée,667.43,25,1381.58,2.07,26.70,185330,4485,2.42,2025-09-16
Créa Image statique Abonnement - Alex,Abonnement,Alex Johnson,Image statique,Accessoire,Emportez AG1 partout,Octobre 2025,En pause,2446.62,71,6508.01,2.66,34.46,201970,5251,2.60,2025-10-15
Créa Image statique Omega-3 - Dr.,Omega-3,Dr. James Smith,Image statique,Convenience,Le meilleur rapport qualité-prix,Juillet 2025,En pause,2803.85,16,8579.78,3.06,175.24,242176,5885,2.43,2025-07-28
Créa Témoignage Omega-3 - Laura,Omega-3,Laura Davis,Témoignage,Valeur,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En pause,774.30,29,2694.56,3.48,26.70,294589,6952,2.36,2025-10-22
Créa Image statique AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,Image statique,Valeur,Mon cœur me remercie,Juillet 2025,Archivée,2467.76,150,2097.60,0.85,16.45,207411,5787,2.79,2025-07-06
Créa Motion/Vidéo Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,Motion/Vidéo,Accessoire,Mon cœur me remercie,Août 2025,En pause,1112.18,43,3369.91,3.03,25.86,260565,7635,2.93,2025-08-23
Créa Motion/Vidéo Shaker - Paul,Shaker,Paul Martinez,Motion/Vidéo,Santé,Boostez votre immunité,Novembre 2025,En ligne,2973.18,90,4876.02,1.64,33.04,156810,5677,3.62,2025-11-03
Créa Image statique AG1 Powder - Marc,AG1 Powder,Marc Petit,Image statique,Accessoire,Boostez votre immunité,Juillet 2025,En ligne,683.27,68,1202.56,1.76,10.05,92993,3664,3.94,2025-07-02
Créa Témoignage AG1 Powder - Julie,AG1 Powder,Julie Bernard,Témoignage,Éducation,Mon cœur me remercie,Septembre 2025,En ligne,1142.98,117,1371.58,1.20,9.77,241497,8356,3.46,2025-09-11
Créa UGC Omega-3 - Camille,Omega-3,Camille Rousseau,UGC,Valeur,Le shaker qui change tout,Septembre 2025,Arrêtée,2455.86,104,6704.50,2.73,23.61,128855,2783,2.16,2025-09-13
Créa Podcast AG1 Powder - Anna,AG1 Powder,Anna Schmidt,Podcast,Santé,Boostez votre immunité,Novembre 2025,Arrêtée,1451.70,129,2293.69,1.58,11.25,295571,7448,2.52,2025-11-26
Créa Podcast Bundle Complet - Paul,Bundle Complet,Paul Martinez,Podcast,Testimonial,Économisez avec le bundle,Octobre 2025,Archivée,673.64,77,2189.33,3.25,8.75,263579,10227,3.88,2025-10-12
Créa Témoignage AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Témoignage,Convenience,Ne manquez jamais votre dose,Septembre 2025,Archivée,2445.59,46,3032.53,1.24,53.17,273547,9054,3.31,2025-09-22
Créa Motion/Vidéo Bundle Complet - Laura,Bundle Complet,Laura Davis,Motion/Vidéo,Éducation,Mon cœur me remercie,Novembre 2025,En pause,651.19,124,1803.80,2.77,5.25,90179,3526,3.91,2025-11-14
Créa Podcast Bundle Complet - Claire,Bundle Complet,Claire Anderson,Podcast,Valeur,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En ligne,2169.02,32,6225.09,2.87,67.78,70685,2615,3.70,2025-10-13
Créa UGC Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,UGC,Santé,Ne manquez jamais votre dose,Octobre 2025,Arrêtée,758.13,107,826.36,1.09,7.09,203178,4328,2.13,2025-10-28
Créa UGC AG1 Powder - Julie,AG1 Powder,Julie Bernard,UGC,Éducation,Mon cœur me remercie,Novembre 2025,En pause,2105.84,123,7033.51,3.34,17.12,52281,2086,3.99,2025-11-28
Créa Motion/Vidéo Shaker - Sarah,Shaker,Sarah Martin,Motion/Vidéo,Convenience,Je bois AG1 depuis 3 mois,Septembre 2025,En pause,897.07,59,1363.55,1.52,15.20,86832,2023,2.33,2025-09-12
Créa Podcast Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Podcast,Valeur,Boostez votre immunité,Novembre 2025,Archivée,2542.53,43,3330.71,1.31,59.13,54652,1694,3.10,2025-11-26
Créa Témoignage Bundle Complet - Paul,Bundle Complet,Paul Martinez,Témoignage,Éducation,Le meilleur rapport qualité-prix,Novembre 2025,Arrêtée,535.97,135,1452.48,2.71,3.97,178459,5836,3.27,2025-11-08
Créa Image statique Abonnement - Dr.,Abonnement,Dr. James Smith,Image statique,Valeur,Le meilleur rapport qualité-prix,Novembre 2025,En pause,1292.12,60,646.06,0.50,21.54,165688,3629,2.19,2025-11-25
Créa Podcast Abonnement - Marc,Abonnement,Marc Petit,Podcast,Valeur,Ne manquez jamais votre dose,Juillet 2025,En pause,1483.13,21,3574.34,2.41,70.63,124490,3722,2.99,2025-07-09
Créa Podcast AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,Podcast,Éducation,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,2552.96,72,3880.50,1.52,35.46,258990,6475,2.50,2025-08-09
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Michael Lee,UGC,Accessoire,Ne manquez jamais votre dose,Septembre 2025,Archivée,2622.03,80,5873.35,2.24,32.78,196717,4347,2.21,2025-09-13
Créa Témoignage Vitamine D3+K2 - Anna,Vitamine D3+K2,Anna Schmidt,Témoignage,Testimonial,L'importance d'un bon mélange,Juillet 2025,Archivée,2497.65,43,3896.33,1.56,58.08,100179,2975,2.97,2025-07-21
Créa Témoignage AG1 Travel Packs - Sophie,AG1 Travel Packs,Sophie Martin,Témoignage,Convenience,Je bois AG1 depuis 3 mois,Août 2025,Archivée,1084.05,115,1701.96,1.57,9.43,227045,8446,3.72,2025-08-22
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. James Smith,Motion/Vidéo,Accessoire,Ma transformation en 2 mois,Novembre 2025,En pause,1604.15,62,2390.18,1.49,25.87,54677,1241,2.27,2025-11-12
Créa Témoignage Shaker - Sophie,Shaker,Sophie Martin,Témoignage,Testimonial,Essentiel en hiver,Septembre 2025,En pause,1667.36,76,1884.12,1.13,21.94,134469,3389,2.52,2025-09-27
Créa Podcast Shaker - Alex,Shaker,Alex Johnson,Podcast,Accessoire,Ma transformation en 2 mois,Juillet 2025,En pause,934.85,39,3169.14,3.39,23.97,295970,10122,3.42,2025-07-05
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Image statique,Convenience,N'oubliez plus jamais,Novembre 2025,En pause,1806.22,134,2402.27,1.33,13.48,217979,6082,2.79,2025-11-09
Créa UGC AG1 Powder - Laura,AG1 Powder,Laura Davis,UGC,Convenience,Le shaker qui change tout,Octobre 2025,En pause,1069.65,53,2160.69,2.02,20.18,65398,1530,2.34,2025-10-13
Créa Motion/Vidéo AG1 Powder - Paul,AG1 Powder,Paul Martinez,Motion/Vidéo,Testimonial,Parfait pour voyager,Septembre 2025,Archivée,1721.80,122,5578.63,3.24,14.11,296060,11191,3.78,2025-09-21
Créa UGC Bundle Complet - Paul,Bundle Complet,Paul Martinez,UGC,Éducation,Ne manquez jamais votre dose,Juillet 2025,Arrêtée,2139.98,58,6141.74,2.87,36.90,242012,7599,3.14,2025-07-13
Créa Témoignage AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Témoignage,Valeur,Ma transformation en 2 mois,Septembre 2025,Arrêtée,764.87,80,1437.96,1.88,9.56,233677,5515,2.36,2025-09-12
Créa Témoignage Shaker - Pierre,Shaker,Pierre Moreau,Témoignage,Testimonial,Je bois AG1 depuis 3 mois,Juillet 2025,Arrêtée,1103.55,73,2791.98,2.53,15.12,190676,5282,2.77,2025-07-02
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,Témoignage,Convenience,Mon expérience avec Omega-3,Septembre 2025,Arrêtée,1747.19,100,5922.97,3.39,17.47,229141,8180,3.57,2025-09-13
Créa UGC AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,UGC,Éducation,Boostez votre immunité,Septembre 2025,Archivée,913.76,75,2677.32,2.93,12.18,261461,9596,3.67,2025-09-18
Créa Podcast AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Podcast,Testimonial,Mon expérience avec Omega-3,Novembre 2025,En pause,2263.36,125,7785.96,3.44,18.11,263930,6545,2.48,2025-11-10
Créa Motion/Vidéo Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,Motion/Vidéo,Santé,Le shaker qui change tout,Septembre 2025,Arrêtée,2398.70,74,7867.74,3.28,32.41,174174,6479,3.72,2025-09-03
Créa Motion/Vidéo Bundle Complet - Sarah,Bundle Complet,Sarah Martin,Motion/Vidéo,Accessoire,Je bois AG1 depuis 3 mois,Juillet 2025,Arrêtée,2181.69,149,1570.82,0.72,14.64,205006,5556,2.71,2025-07-19
Créa UGC Omega-3 - David,Omega-3,David Chen,UGC,Santé,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,2089.82,112,2152.51,1.03,18.66,293925,8994,3.06,2025-09-23
